"","ID","Cluster","V1","V2"
"H4_GM_2_2_105","H4_GM_2_2_105",8,-22.5035557799122,-0.370624374453485
"H4_GM_2_2_108","H4_GM_2_2_108",4,0.993222792396361,-12.4284569796211
"H4_GM_2_2_113","H4_GM_2_2_113",4,4.54081108509928,-10.0748361154896
"H4_GM_2_2_114","H4_GM_2_2_114",2,1.69834917146732,-21.9848361188752
"H4_GM_2_2_115","H4_GM_2_2_115",2,4.75254080698132,-21.3361205097766
"H4_GM_2_2_116","H4_GM_2_2_116",4,-4.91480126791145,-6.38368801374891
"H4_GM_2_2_117","H4_GM_2_2_117",1,-4.13603471027777,-20.1854817358482
"H4_GM_2_2_120","H4_GM_2_2_120",5,12.8709795671714,-9.08431465233901
"H4_GM_2_2_121","H4_GM_2_2_121",1,-10.2461834887553,-18.9057828147525
"H4_GM_2_2_123","H4_GM_2_2_123",6,8.91678386589494,-4.20237238770088
"H4_GM_2_2_124","H4_GM_2_2_124",2,7.12371258263688,-18.9996468488016
"H4_GM_2_2_127","H4_GM_2_2_127",1,-3.8393754381206,-20.8157162509186
"H4_GM_2_2_128","H4_GM_2_2_128",4,2.22713000843789,-8.39737317638684
"H4_GM_2_2_129","H4_GM_2_2_129",2,-3.68596555093095,-18.0429356118516
"H4_GM_2_2_130","H4_GM_2_2_130",2,2.23005080138908,-16.3368880527209
"H4_GM_2_2_132","H4_GM_2_2_132",9,-17.3431897224061,6.4015850603098
"H4_GM_2_2_134","H4_GM_2_2_134",8,-20.7137721688499,5.06130121366007
"H4_GM_2_2_135","H4_GM_2_2_135",4,4.40410899368376,-11.7060826384846
"H4_GM_2_2_136","H4_GM_2_2_136",5,15.3463524734893,-8.17394140326296
"H4_GM_2_2_137","H4_GM_2_2_137",1,-0.385255008604399,-22.4682132279627
"H4_GM_2_2_138","H4_GM_2_2_138",5,13.9809475851483,-12.097411678112
"H4_GM_2_2_139","H4_GM_2_2_139",5,5.26390737779554,-13.8852226273126
