"","ID","Cluster","V1","V2"
"H4_GM_2_2_87","H4_GM_2_2_87",3,15.2616310486009,8.3619318357224
"H4_GM_2_2_90","H4_GM_2_2_90",5,10.3118634321656,11.2930091893499
"H4_GM_2_2_91","H4_GM_2_2_91",1,15.908923302161,-12.5666309090656
"H4_GM_2_2_93","H4_GM_2_2_93",6,15.6482360455992,11.5842302942349
"H4_GM_2_2_94","H4_GM_2_2_94",3,14.1046463973607,-4.57476349572715
"H4_GM_2_2_97","H4_GM_2_2_97",1,19.8562192368282,-8.85749174474122
"H4_GM_2_2_100","H4_GM_2_2_100",1,22.9393250524792,-9.68749560642961
"H4_GM_2_2_101","H4_GM_2_2_101",1,22.8320291405354,1.82919034143078
"H4_GM_2_2_103","H4_GM_2_2_103",3,17.4915972325006,1.6231608516884
"H4_GM_2_2_105","H4_GM_2_2_105",13,0.306152182237517,-20.7429334958507
"H4_GM_2_2_108","H4_GM_2_2_108",3,20.8675223132721,4.57826965034307
"H4_GM_2_2_113","H4_GM_2_2_113",3,13.3733556451866,-3.53044096450898
"H4_GM_2_2_114","H4_GM_2_2_114",1,22.1297982950809,-1.78783097109938
"H4_GM_2_2_115","H4_GM_2_2_115",1,20.1537207591568,-5.49450899210758
"H4_GM_2_2_116","H4_GM_2_2_116",3,11.1862809715064,-8.73787562093237
"H4_GM_2_2_117","H4_GM_2_2_117",1,23.2403518288554,-10.2148562562463
"H4_GM_2_2_119","H4_GM_2_2_119",4,-0.259199901686161,31.1369921587689
"H4_GM_2_2_120","H4_GM_2_2_120",5,10.75857270681,11.3059897788024
"H4_GM_2_2_121","H4_GM_2_2_121",1,15.9924058684469,-12.7177386346719
"H4_GM_2_2_123","H4_GM_2_2_123",3,13.3441048727561,1.91044607109909
"H4_GM_2_2_124","H4_GM_2_2_124",3,17.8063860581695,1.49444104914622
"H4_GM_2_2_127","H4_GM_2_2_127",1,22.2120004151736,-12.0300934736093
"H4_GM_2_2_128","H4_GM_2_2_128",3,13.4866522377587,0.974990580408745
"H4_GM_2_2_129","H4_GM_2_2_129",1,20.2742798131119,-8.90886172686458
"H4_GM_2_2_130","H4_GM_2_2_130",1,19.5628075618483,-0.15888391189131
"H4_GM_2_2_132","H4_GM_2_2_132",8,-5.48224836254729,-18.4490017995889
"H4_GM_2_2_134","H4_GM_2_2_134",8,-6.0885927874978,-19.3736345442908
"H4_GM_2_2_135","H4_GM_2_2_135",3,14.0441041539007,7.6344728025281
"H4_GM_2_2_136","H4_GM_2_2_136",6,2.63480153736282,17.5050998821362
"H4_GM_2_2_137","H4_GM_2_2_137",1,23.2213361574853,-6.28200849791991
"H4_GM_2_2_138","H4_GM_2_2_138",5,14.8291424185643,9.34607445234163
"H4_GM_2_2_139","H4_GM_2_2_139",3,13.9120646556875,5.89390557646677
"H4_GM_2_2_143","H4_GM_2_2_143",1,24.9059045655458,-11.0034553511764
"H4_GM_2_2_145","H4_GM_2_2_145",3,4.65366641554822,-3.81903545828895
"H4_GM_2_2_146","H4_GM_2_2_146",1,20.4786248846439,-10.870256295542
"H4_GM_2_2_147","H4_GM_2_2_147",3,12.2591955516601,-6.94750328792115
"H4_GM_2_2_148","H4_GM_2_2_148",1,18.6895915223353,-8.32318738501992
"H4_GM_2_2_151","H4_GM_2_2_151",1,19.068107487813,-0.0450165950444184
"H4_GM_2_2_155","H4_GM_2_2_155",6,6.63651827461603,13.9950522371212
"H4_GM_2_2_157","H4_GM_2_2_157",3,12.7241358465565,-4.57192767068864
"H4_GM_2_2_159","H4_GM_2_2_159",3,14.9021478857817,0.767824460063506
"H4_GM_2_2_160","H4_GM_2_2_160",1,25.0517301318123,-9.74985788044393
"H4_GM_2_2_161","H4_GM_2_2_161",3,17.5536141548942,2.22575139880119
"H4_GM_2_2_162","H4_GM_2_2_162",3,11.4281655978892,7.05806067068794
"H4_GM_2_2_163","H4_GM_2_2_163",5,0.859687970572106,-19.3535133507426
"H4_GM_2_2_165","H4_GM_2_2_165",1,23.8924528544845,-8.95028809889204
"H4_GM_2_2_166","H4_GM_2_2_166",1,19.2399466006748,-3.31347239600808
"H4_GM_2_2_167","H4_GM_2_2_167",3,12.4844040900355,-4.75860546490491
"H4_GM_2_2_168","H4_GM_2_2_168",1,23.5187880992784,-6.40038461311679
"H4_GM_2_2_169","H4_GM_2_2_169",1,18.2113664451857,-0.033822020870797
